Frame Number, Sedan, SUV, Total
391, 1, 3, 4
392, 1, 3, 4
393, 2, 2, 4
394, 3, 1, 4
395, 2, 2, 4
396, 1, 3, 4
397, 2, 2, 4
398, 2, 2, 4
399, 2, 2, 4
400, 2, 2, 4
401, 2, 2, 4
402, 3, 1, 4
403, 2, 2, 4
404, 2, 1, 3
405, 2, 1, 3
406, 3, 0, 3
407, 3, 0, 3
408, 2, 1, 3
409, 2, 1, 3
410, 1, 1, 2
411, 2, 0, 2
412, 2, 0, 2
413, 2, 0, 2
414, 2, 0, 2
415, 2, 0, 2
416, 2, 0, 2
417, 1, 1, 2
418, 1, 1, 2
419, 2, 0, 2
420, 1, 2, 3
421, 1, 2, 3
422, 0, 3, 3
423, 0, 3, 3
424, 1, 2, 3
425, 2, 1, 3
426, 2, 1, 3
427, 2, 1, 3
428, 1, 2, 3
429, 1, 2, 3
430, 2, 1, 3
431, 2, 1, 3
432, 1, 2, 3
433, 2, 1, 3
434, 2, 1, 3
435, 2, 1, 3
436, 2, 1, 3
437, 2, 1, 3
438, 2, 1, 3
439, 1, 2, 3
440, 1, 2, 3
441, 3, 0, 3
442, 1, 2, 3
443, 1, 2, 3
444, 0, 3, 3
445, 2, 1, 3
446, 0, 3, 3
447, 2, 1, 3
448, 2, 1, 3
449, 2, 1, 3
450, 0, 3, 3
451, 1, 2, 3
452, 1, 2, 3
453, 1, 2, 3
454, 1, 2, 3
455, 1, 2, 3
456, 2, 1, 3
457, 1, 2, 3
458, 2, 1, 3
459, 2, 1, 3
460, 1, 2, 3
461, 2, 1, 3
462, 1, 2, 3
463, 2, 1, 3
464, 1, 2, 3
465, 2, 1, 3
466, 2, 1, 3
467, 2, 1, 3
468, 2, 1, 3
469, 3, 0, 3
470, 2, 1, 3
471, 2, 1, 3
472, 2, 1, 3
473, 2, 1, 3
474, 3, 0, 3
475, 3, 0, 3
476, 2, 1, 3
477, 3, 0, 3
478, 2, 2, 4
479, 1, 3, 4
480, 2, 2, 4
481, 2, 2, 4
482, 3, 1, 4
483, 3, 1, 4
484, 3, 1, 4
485, 3, 1, 4
486, 3, 1, 4
487, 2, 2, 4
488, 3, 1, 4
489, 3, 1, 4
490, 3, 1, 4
491, 3, 1, 4
492, 3, 1, 4
493, 3, 1, 4
494, 3, 1, 4
495, 4, 0, 4
496, 3, 1, 4
497, 1, 3, 4
498, 2, 2, 4
499, 2, 2, 4
500, 4, 0, 4
501, 2, 2, 4
502, 2, 2, 4
503, 2, 2, 4
504, 1, 3, 4
505, 3, 1, 4
506, 3, 1, 4
507, 3, 1, 4
508, 1, 3, 4
509, 2, 2, 4
510, 2, 2, 4
511, 2, 2, 4
512, 2, 2, 4
513, 3, 1, 4
514, 2, 1, 3
515, 2, 1, 3
516, 2, 1, 3
517, 1, 2, 3
518, 1, 2, 3
519, 1, 1, 2
520, 1, 1, 2
521, 1, 1, 2
522, 0, 1, 1
523, 0, 1, 1
524, 0, 1, 1
525, 0, 1, 1
526, 0, 1, 1
527, 0, 1, 1
528, 0, 1, 1
529, 0, 1, 1
530, 0, 1, 1
531, 0, 1, 1
532, 1, 0, 1
533, 1, 1, 2
534, 2, 0, 2
535, 2, 0, 2
536, 1, 1, 2
537, 2, 0, 2
538, 2, 0, 2
539, 1, 1, 2
540, 1, 1, 2
541, 1, 1, 2
542, 2, 0, 2
543, 1, 1, 2
544, 1, 1, 2
545, 1, 1, 2
546, 2, 0, 2
547, 2, 0, 2
548, 2, 0, 2
549, 1, 1, 2
550, 2, 0, 2
551, 2, 0, 2
552, 2, 0, 2
553, 2, 0, 2
554, 2, 0, 2
555, 2, 0, 2
556, 2, 0, 2
557, 2, 0, 2
558, 2, 0, 2
559, 2, 0, 2
560, 2, 0, 2
561, 2, 0, 2
562, 2, 0, 2
563, 1, 1, 2
564, 2, 0, 2
565, 2, 0, 2
566, 1, 1, 2
567, 1, 1, 2
568, 1, 1, 2
569, 1, 1, 2
570, 1, 1, 2
571, 1, 1, 2
572, 2, 0, 2
573, 1, 1, 2
574, 1, 1, 2
575, 0, 0, 0
576, 0, 1, 1
577, 1, 0, 1
578, 1, 0, 1
579, 1, 0, 1
580, 1, 0, 1
581, 2, 0, 2
582, 2, 0, 2
583, 2, 0, 2
584, 0, 2, 2
585, 1, 1, 2
586, 2, 0, 2
587, 2, 1, 3
588, 2, 1, 3
589, 3, 0, 3
590, 3, 1, 4
591, 4, 0, 4
592, 4, 0, 4
